,Close
689,234.96
690,235.49
691,234.52
692,231.28
693,230.3
694,229.44
695,231.57
696,232.97
697,237.78
698,238.12
699,236.36
700,237.94
701,237.67
702,244.5
703,245.17
704,245.94
705,246.08
706,242.06
707,241.68
708,242.15
709,242.48
710,242.56
711,240.25
712,243.63
713,243.32
714,241.14
715,241.56
716,241.93
717,240.16
718,240.92
719,242.25
720,244.73
721,243.55
722,243.08
723,241.52
724,242.62
725,242.47
726,242.69
727,242.5
728,242.68
729,242.97
730,243.26
731,244.05
732,243.91
733,236.9
734,237.12
735,237.47
736,236.84
737,238.1
738,237.33
739,236.75
740,238.0
741,237.55
742,238.42
743,238.49
744,237.9
745,237.86
746,237.55
747,237.43
748,237.35
749,237.98
750,236.88
751,236.7
752,236.71
753,237.3
754,237.45
755,237.07
756,237.5
757,237.3
758,237.32
759,236.78
760,237.05
761,236.6
762,237.0
763,233.16
764,234.17
765,234.67
766,232.56
767,232.96
768,233.07
769,232.46
770,233.56
771,233.51
772,234.15
773,234.5
774,233.89
775,234.61
776,234.63
777,235.48
778,235.94
779,235.99
780,235.77
781,235.89
782,236.72
783,236.78
784,235.79
785,237.45
786,241.63
787,240.24
788,239.95
789,239.94
790,240.58
791,239.94
792,239.58
793,239.99
794,239.7
795,239.16
796,239.42
797,241.74
798,240.98
799,240.08
800,240.99
801,239.63
802,237.77
803,237.73
804,237.33
805,237.75
806,237.17
807,237.12
808,238.13
809,237.23
810,237.29
811,237.3
812,238.42
813,238.34
814,237.83
815,237.18
816,236.85
817,237.2
818,237.88
819,236.69
820,237.14
821,236.76
822,237.37
823,237.63
824,237.68
825,235.69
826,236.79
827,236.69
828,237.09
829,236.59
830,236.08
831,232.62
832,232.99
833,232.79
834,232.48
835,233.33
836,233.43
837,232.9
838,231.98
839,232.9
840,230.81
841,230.94
842,230.72
843,228.93
844,228.63
845,222.42
846,222.6
847,225.17
848,223.67
849,223.33
850,226.02
851,225.88
852,225.3
853,227.07
854,225.45
855,225.25
856,226.25
857,226.99
858,226.16
859,225.77
860,225.6
861,225.95
862,225.35
863,225.25
864,224.46
865,224.22
866,223.98
867,224.14
868,225.65
869,225.44
870,224.91
871,224.76
872,224.99
873,224.97
874,224.3
875,224.92
876,225.01
877,225.65
878,225.75
879,225.32
880,223.76
881,223.39
882,223.92
883,224.34
884,224.8
885,225.45
886,227.37
887,229.66
888,229.05
889,228.71
890,230.91
891,230.25
892,230.02
893,230.06
894,229.38
895,229.11
896,228.85
897,230.0
898,229.0
899,228.68
900,228.83
901,230.02
902,230.26
903,230.63
904,229.43
905,229.74
906,229.7
907,229.23
908,229.63
909,229.2
910,230.83
911,230.64
912,229.08
913,230.21
914,229.68
915,230.43
916,231.06
917,232.99
918,233.54
919,233.38
920,234.99
921,233.69
922,233.7
923,233.99
924,233.61
925,235.32
926,235.02
927,235.75
928,236.18
929,236.87
930,236.2
931,237.19
932,239.0
933,240.31
934,246.74
935,248.57
936,248.67
937,250.33
938,253.76
939,254.72
940,251.08
941,250.49
942,251.29
943,244.95
944,249.0
945,252.13
946,251.57
947,249.64
948,249.52
949,249.38
950,249.3
951,246.99
952,247.98
953,247.15
954,244.95
955,242.82
956,241.02
957,245.01
958,245.8
959,245.68
960,244.07
961,244.16
962,245.46
963,245.93
964,243.12
965,244.72
966,244.9
967,245.39
968,246.37
969,246.52
970,246.97
971,248.1
972,247.51
973,245.23
974,245.06
975,244.72
976,244.38
977,243.77
978,243.98
979,243.88
980,243.15
981,241.98
982,241.17
983,240.26
984,240.15
985,241.86
986,241.79
987,242.04
988,242.5
989,242.02
990,242.63
991,241.91
992,241.67
993,241.33
994,241.7
995,242.81
996,242.86
997,243.79
998,244.37
999,246.45
1000,249.07
1001,251.67
1002,251.47
1003,249.75
1004,249.84
1005,249.9
1006,248.45
1007,249.51
1008,251.52
1009,250.53
1010,253.5
1011,254.37
1012,255.66
1013,257.17
1014,258.99
1015,265.01
1016,263.43
1017,268.09
1018,262.08
1019,263.6
1020,261.86
1021,260.02
1022,257.27
1023,257.88
1024,259.24
1025,258.65
1026,260.41
1027,255.86
1028,257.96
1029,254.4
1030,257.33
1031,255.25
1032,255.92
1033,253.78
1034,253.97
1035,255.28
1036,256.25
1037,257.36
1038,256.35
1039,255.45
1040,256.5
1041,258.83
1042,258.6
1043,261.43
1044,262.62
1045,259.66
1046,261.02
1047,267.44
1048,269.79
1049,271.15
1050,269.08
1051,273.83
1052,276.4
1053,273.5
1054,274.93
1055,271.11
1056,268.1
1057,267.74
1058,270.15
1059,267.88
1060,265.38
1061,266.46
1062,265.49
1063,268.47
1064,270.53
1065,272.49
1066,267.33
1067,268.52
1068,270.08
1069,271.83
1070,270.72
1071,271.46
1072,270.78
1073,270.18
1074,271.33
1075,289.95
1076,285.98
1077,285.98
1078,287.62
1079,286.43
1080,290.55
1081,288.92
1082,298.98
1083,294.53
1084,294.93
1085,301.0
1086,301.25
1087,303.57
1088,314.75
1089,309.32
1090,309.75
1091,308.75
1092,306.25
1093,284.42
1094,289.52
1095,290.92
1096,292.82
1097,296.02
1098,286.39
1099,289.79
1100,294.97
