Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted Price,BB24hr_mean,BB24hr_upper,BB24hr_lower,BB120hr_mean,BB120hr_upper,BB120hr_lower
-1.3202587366874623,-1.3175521564225199,-1.3321795714473146,-1.3301526695787382,-0.2275955802017934,-0.6856315046691938,-1.3223077040337963,-1.3960351993260236,-1.2739447443377587,-1.5181256543142885,-1.3510306412262538,-1.101458658838416,-1.6006026236140916
-1.3288826343629636,-1.3239914649892144,-1.336178457888349,-1.3295828667416452,-0.751417595234299,-0.9034219968431075,-1.3277753547485736,-1.3909485219157214,-1.2683601907151176,-1.5135368531163251,-1.352107937905014,-1.1040487899711127,-1.6001670858389154
-1.3291895008613217,-1.3183697005914725,-1.3288246014852243,-1.31054828641141,-0.8805471381500024,-0.9555151063477697,-1.3202247894757857,-1.3837955178281265,-1.2634221185636774,-1.5041689170925756,-1.3531607277858269,-1.1069100152346465,-1.5994114403370072
-1.3092874684781308,-1.2977290067978027,-1.3054884078611186,-1.2996935423647815,-0.3054376954995494,-0.7103208639457023,-1.2993257900537964,-1.3762644917657376,-1.2585409832152656,-1.4939880003162096,-1.3542891484413597,-1.1102989490551536,-1.5982793478275659
-1.2968071763541937,-1.2809372007208872,-1.2950041267295866,-1.282684927677545,-0.47607875259992,-0.7783112077954829,-1.2853232699305857,-1.3679197819760274,-1.2534146779237745,-1.4824248860282803,-1.3554024534938527,-1.1139833459132935,-1.5968215610744119
-1.2814385428591146,-1.2803860473485595,-1.2799926174307066,-1.278531698109398,-0.7622770458707752,-0.89917712041708,-1.2807065660169465,-1.3591897957772545,-1.2511477858803937,-1.4672318056741154,-1.3564791961976324,-1.1176285984056746,-1.59532979398959
-1.2772910997730609,-1.2803860473485595,-1.2955654898137947,-1.2897029992877447,-0.7527218529788868,-0.8967508235334162,-1.2894763983480821,-1.3522895097998153,-1.2488135732279155,-1.4557654463717151,-1.3575058964948394,-1.1209006394419654,-1.5941111535477135
-1.288468000172014,-1.2904231626512817,-1.289882514120136,-1.2952554113780876,-0.8353315319707058,-0.9319716080918145,-1.290673439184012,-1.345639699652848,-1.2494157048080399,-1.441863694497656,-1.3589218037854947,-1.1259142482918407,-1.5919293592791486
-1.2924098110684463,-1.2984669399240858,-1.3084438193926842,-1.2937580961450592,-0.21402327345657443,-0.6740955592301147,-1.305663438617499,-1.3405366667907403,-1.246985303080731,-1.4340880305007497,-1.3604171405364502,-1.1314736916594152,-1.5893605894134852
-1.2934537898772929,-1.2717451872557342,-1.292438367221177,-1.2623461319646294,-0.7368139215956675,-0.8881146284625351,-1.2796936853096215,-1.334479609872916,-1.2402611446378953,-1.4286980751079366,-1.361853465762101,-1.137639637543835,-1.5860672939803673
-1.2636118138050245,-1.2589523050913738,-1.2621974076613127,-1.252289111889932,-0.6862327997101739,-0.8625292109689133,-1.2606204113005222,-1.32711992035807,-1.2361546123837117,-1.4180852283324281,-1.3624757643235377,-1.13991611730335,-1.5850354113437253
-1.251077740954571,-1.2485416302807406,-1.2550053559118715,-1.2614724342810866,-0.5776583588491753,-0.8130018475461142,-1.2502471157806743,-1.3214915345561145,-1.2317501613769637,-1.4112329077352652,-1.3633050384895962,-1.1430291926264948,-1.5835808843526975
-1.2602457730395316,-1.2556025173728937,-1.2635347726560437,-1.263140690365243,-0.34826149363030967,-0.7155223675285443,-1.2584803435991516,-1.3154355328287293,-1.2307216853630831,-1.4001493802943754,-1.3639495224300142,-1.1453220982781236,-1.5825769465819048
-1.2622989313635964,-1.258646108773414,-1.2635347726560437,-1.2578320272663235,-0.5059723401058739,-0.7850792783354081,-1.2628811356378753,-1.3087950874969088,-1.2328456548634246,-1.384744520130393,-1.3644993294082872,-1.1472903552489233,-1.5817083035676511
-1.2566266465021974,-1.257115127183615,-1.2846684417085803,-1.2852775305863198,-0.46531561638150587,-0.7687336718069615,-1.2673136794229094,-1.3040142834151296,-1.238273101611787,-1.3697554652184722,-1.3655412772073388,-1.1511025758236568,-1.5799799785910207
-1.2840421627369347,-1.2841798197280816,-1.297626022546417,-1.2881835250554956,0.24791271487042518,-0.4724952769558273,-1.289524025967549,-1.3010518362574637,-1.2394269119504702,-1.3626767605644572,-1.3662743180053551,-1.1535203967591101,-1.5790282392516002
-1.2869431583966686,-1.2932462927028712,-1.3077833922347923,-1.2907096509666096,0.543911000179076,-0.3525446826739249,-1.2989098421771204,-1.2984452520753715,-1.240880491465685,-1.356010012685058,-1.3668820549387326,-1.1554264061286366,-1.5783377037488286
-1.2896068861453012,-1.289682167561819,-1.2968830419937887,-1.28177957428083,-0.7558239798606297,-0.8986714892128893,-1.2927150764718178,-1.2969081034032681,-1.2396281123299795,-1.3541880944765567,-1.3676482023367744,-1.1581225160819764,-1.5771738885915725
-1.2805685605184094,-1.2822599688144736,-1.2856590824454182,-1.2769805681639772,-0.9861438582525881,-0.99517725211688,-1.2847549136716163,-1.2955461163440491,-1.2379787647336167,-1.3531134679544816,-1.3681813373061105,-1.159921081546004,-1.576441593066217
-1.2757472765648274,-1.2822232252563184,-1.317689799603169,-1.3047552909009608,0.012460080615919545,-0.5789114700936708,-1.3049807760718095,-1.294764615925119,-1.2382828384069948,-1.351246393443243,-1.3683012596995099,-1.1602052383990349,-1.5763972809999849
