Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1469714820,658.02,658.02,658.01,658.02,3.08682748,2031.1692647,658.01191608
1469729220,657.33,657.34,657.33,657.34,0.68418,449.73599620000005,657.33578327
1469743620,656.61,656.93,656.61,656.93,1.53725,1009.6020745,656.75854578
1469758020,657.09,657.09,657.06,657.06,1.2101899999999999,795.1899687000001,657.07861468
1469772420,658.0,658.1,657.72,657.72,0.57484215,378.14619851,657.82615021
1469786820,657.4,657.4,657.4,657.4,0.08451074,55.55736047600001,657.4
1469801220,656.4,656.4,656.4,656.4,0.5908701,387.84713364,656.4
1469815620,657.25,657.25,657.25,657.25,0.48353,317.8000925,657.25
1469830020,657.57,657.57,657.31,657.42,5.8783,3864.3063305,657.38501446
1469844420,658.23,658.39,658.23,658.39,0.51836,341.23042235,658.28849131
1469858820,658.6,658.6,658.45,658.45,1.53669,1011.9678815999999,658.5374289
1469873220,658.72,658.75,658.72,658.75,6.6529,4382.5801067,658.74732923
1469887620,653.36,653.44,653.36,653.44,0.17328029,113.2266543,653.43066022
1469902020,657.14,657.14,656.99,656.99,0.46279,304.10781004,657.11836911
1469916420,656.08,656.5,656.08,656.5,1.40346,920.7867408,656.08335172
1469930820,656.44,656.44,656.2,656.2,0.85136,558.787301,656.34667003
1469945220,635.89,635.9,635.82,635.82,0.18283,116.258875,635.88511185
1469959620,638.61,638.61,638.61,638.61,0.22694129,144.92697721,638.61
1469974020,638.46,638.47,638.46,638.47,5.61737136,3586.5028780000002,638.46640148
1469988420,636.18,636.18,636.16,636.16,0.28362341,180.43152071,636.16582533
1470002820,636.3,636.75,636.29,636.75,1.54656297,984.25691365,636.41567317
1470017220,621.56,621.56,619.61,620.46,5.98981479,3713.5546193000005,619.97820458
1470031620,624.31,624.31,624.3,624.3,0.1602,100.01417,624.30817728
1470046020,624.3,624.31,624.18,624.18,1.31901,823.3321917999999,624.20466244
1470060420,625.13,625.45,624.81,625.45,10.63965,6651.0410581,625.11840692
1470074820,617.02,617.02,616.5,616.5,13.109379999999998,8082.639103899999,616.55388004
1470089220,615.2,615.43,615.11,615.11,2.37067743,1458.4681373,615.21155043
1470103620,610.32,610.68,609.99,609.99,12.96784763,7914.1460893,610.28987347
1470118020,604.64,604.64,603.34,604.61,7.52353334,4546.7733083,604.34015545
1470132420,603.56,603.56,602.68,602.68,10.0,6032.407209800001,603.24072098
1470146820,607.29,607.3,605.42,606.48,26.59111827,16112.013783000002,605.91711936
1470161220,602.4,602.65,602.4,602.65,3.11953214,1879.3159417,602.43519135
1470175620,551.0,551.0,550.0,550.87,25.22190504,13872.566657,550.02057278
1470190020,550.97,550.97,549.25,550.36,3.8127042999999996,2098.6343103,550.4319625
1470204420,549.78,549.79,548.47,548.47,2.63873,1447.9674839000002,548.7365073
1470218820,541.44,541.45,541.44,541.45,2.01018,1088.4118434,541.4499415
1470233220,567.68,568.23,566.31,567.36,21.9485304,12458.949393,567.64389987
1470247620,565.69,565.7,563.91,563.91,26.3754,14880.954397,564.19824524
1470262020,573.84,573.99,573.84,573.99,2.96385,1701.141539,573.96343911
1470276420,584.99,587.66,584.99,585.75,39.45225918,23131.077758000003,586.30553075
1470290820,591.04,591.04,588.47,588.47,13.37951,7879.982106300001,588.95894591
1470305220,580.49,580.49,580.49,580.49,1.15573,670.8897077,580.49
1470319620,584.5,584.74,582.86,584.43,21.08833109,12305.457653,583.51974847
1470334020,573.3,573.3,573.29,573.29,1.45056,831.5952682999999,573.29256859
1470348420,573.2,573.2,573.2,573.2,0.8757299999999999,501.96843600000005,573.2
1470362820,592.0,592.0,591.99,591.99,0.69743,412.8733757,591.99256657
1470377220,577.99,577.99,577.99,577.99,0.1,57.799,577.99
1470391620,573.92,574.03,573.92,574.03,0.24391,140.01020932,574.02406348
1470406020,575.3,575.31,575.3,575.31,0.20103,115.65356229999999,575.3049907999999
1470420420,577.0,577.04,577.0,577.04,2.4658,1422.8187032,577.02113034
1470434820,581.46,581.75,581.46,581.46,10.90323,6340.198013600001,581.4972273
1470449220,582.64,582.64,582.12,582.12,0.58071157,338.18629393,582.36534521
1470463620,578.84,578.88,578.84,578.88,1.16713,675.603608,578.85891717
1470478020,577.44,577.44,577.42,577.42,0.06590739999999999,38.057112056,577.43306603
1470492420,579.84,579.84,579.66,579.66,0.11625,67.400403247,579.78841503
1470506820,588.0,588.0,588.0,588.0,1.656107,973.790916,588.0
1470521220,588.3,588.3,588.29,588.29,0.45024,264.875352,588.29813433
1470535620,594.71,594.71,594.64,594.64,0.11655,69.3117747,594.69562162
