,bitcoin
1518,2473.94
1519,2375.98
1520,2377.5
1521,2345.15
1522,2202.94
1523,2055.09
1524,1900.86
1525,2170.3
1526,2356.3
1527,2307.55
1528,2723.0
1529,2637.55
1530,2808.39
1531,2749.24
1532,2763.76
1533,2603.73
1534,2551.28
1535,2721.06
1536,2795.81
1537,2705.48
1538,2749.13
1539,2855.56
1540,2703.89
1541,2721.82
1542,2815.08
1543,2881.56
1544,3270.47
1545,3207.59
1546,3350.13
1547,3407.25
1548,3343.37
1549,3420.4
1550,3653.01
1551,3949.6
1552,4072.94
1553,4362.51
1554,4177.9
1555,4362.77
1556,4338.6
1557,4195.47
1558,4116.04
1559,4102.66
1560,3889.24
1561,4090.11
1562,4141.83
1563,4388.95
1564,4371.6
1565,4317.29
1566,4318.65
1567,4390.45
1568,4588.45
1569,4577.31
1570,4740.6
1571,4928.03
1572,4623.51
1573,4527.4
1574,4040.3
1575,4490.29
1576,4507.45
1577,4599.26
1578,4171.88
1579,4118.61
1580,4203.72
1581,4231.63
1582,4031.57
1583,3874.68
1584,3387.13
1585,3697.86
1586,3579.77
1587,3701.85
1588,3980.17
1589,3916.37
1590,3896.09
1591,3668.1
1592,3635.22
1593,3781.92
1594,3774.0
1595,3947.45
1596,3908.59
1597,4165.16
1598,4100.49
1599,4205.07
1600,4314.11
1601,4412.84
1602,4427.26
1603,4302.91
1604,4243.24
1605,4332.29
1606,4358.31
1607,4418.22
1608,4616.19
1609,4817.89
1610,4793.33
1611,4861.99
1612,5707.79
1613,5666.83
1614,5852.48
1615,5688.99
1616,5629.59
1617,5514.57
1618,5605.89
1619,5670.57
1620,6083.22
1621,5974.6
1622,6021.49
1623,5648.75
1624,5403.76
1625,5728.61
1626,5956.31
1627,5804.69
1628,5727.58
1629,6119.32
1630,6131.52
1631,6441.99
1632,6867.43
1633,7076.83
1634,7164.34
1635,7380.63
1636,7385.83
1637,7129.85
1638,7326.39
1639,7395.15
1640,7255.36
1641,6809.75
1642,6170.53
1643,6008.72
1644,6657.83
1645,6925.58
1646,7224.09
1647,7931.87
1648,7502.46
1649,7804.51
1650,7974.75
1651,8072.38
1652,8155.57
1653,8239.35
1654,8074.71
1655,8222.59
1656,8842.92
1657,9624.29
1658,9740.52
1659,10454.1
1660,10678.6
1661,9948.38
1662,11109.5
1663,11045.1
1664,11443.5
1665,11684.2
1666,12458.2
1667,14441.8
1668,16669.1
1669,16129.6
1670,13465.6
1671,17102.2
1672,16574.0
1673,16805.3
1674,16185.9
1675,17600.3
1676,17586.8
1677,19535.7
1678,18737.6
1679,19000.8
1680,17240.1
1681,16645.5
1682,13939.1
1683,14721.0
1684,14175.5
1685,13593.2
1686,14663.6
1687,16293.7
1688,14822.5
1689,15089.5
1690,13685.4
1691,13411.0
1692,13791.6
1693,13670.6
1694,15190.8
1695,15364.0
1696,15572.1
1697,17035.6
1698,17109.1
1699,15908.9
1700,15399.6
1701,14348.0
1702,13603.1
1703,13823.7
1704,14232.6
1705,14395.3
1706,13713.4
1707,13204.9
1708,10805.9
1709,11596.9
1710,11295.8
1711,11920.4
1712,12623.1
1713,11688.5
1714,11026.2
1715,10877.2
1716,11695.7
1717,11603.1
1718,11124.5
1719,11564.0
1720,11537.5
1721,11075.7
1722,10001.0
1723,10058.1
1724,8780.23
1725,8256.33
1726,9177.5
1727,8144.01
1728,6252.44
1729,7386.63
1730,8179.93
1731,8003.77
1732,8907.83
1733,8151.89
1734,8514.72
1735,8690.49
1736,8856.73
1737,9761.57
1738,10091.9
1739,10567.8
1740,10989.0
1741,10669.4
1742,11601.3
1743,11003.5
1744,10904.5
1745,10007.2
1746,10524.3
1747,9764.16
1748,9680.17
1749,10380.8
1750,10980.6
1751,10486.3
1752,11046.3
1753,11389.3
1754,11242.1
1755,11542.6
1756,11342.8
1757,10598.8
1758,9820.62
1759,8858.27
1760,9490.05
1761,8888.24
1762,9658.87
1763,9404.81
1764,9196.64
1765,7899.96
1766,8240.75
1767,8231.27
1768,7769.02
1769,8321.72
1770,8564.91
1771,9107.93
1772,9049.33
1773,8415.39
1774,8927.67
1775,8568.19
1776,8490.62
1777,8016.17
1778,7922.57
1779,7633.15
1780,7158.86
1781,6939.83
1782,6917.68
1783,6963.81
1784,7366.17
1785,7378.37
1786,6851.6
1787,6695.06
1788,6870.79
1789,6960.79
1790,7115.75
1791,6755.97
1792,6837.63
1793,6943.48
1794,7810.71
1795,7997.07
1796,8091.03
1797,8056.67
1798,8023.62
1799,7947.79
1800,8203.12
1801,8294.76
1802,8910.51
1803,8869.08
1804,8864.44
1805,9243.85
1806,9458.1
1807,8920.16
1808,9247.43
1809,9176.05
1810,9452.56
1811,9303.52
