,Timestamp,BTC-USD-Daily
398,1401954066000.0,645.998
399,1402040465000.0,657.275
400,1402126867000.0,652.765
401,1402213266000.0,657.53
402,1402299666000.0,647.333
403,1402386065000.0,657.994
404,1402472469000.0,650.166
405,1402561566000.0,636.624
406,1402647969000.0,610.96
407,1402734367000.0,584.821
408,1402820767000.0,559.434
409,1402907167000.0,599.72
410,1402993571000.0,596.463
411,1403079968000.0,612.4
412,1403166367000.0,610.083
413,1403252768000.0,589.439
414,1403339167000.0,591.765
415,1403425570000.0,604.541
416,1403511967000.0,593.671
417,1403602266000.0,594.267
418,1403694075000.0,571.571
419,1403813170000.0,573.299
420,1403903467000.0,584.93
421,1404024372000.0,600.891
422,1404116499000.0,626.494
423,1404202872000.0,654.42
424,1404307273000.0,645.444
425,1404407768000.0,645.18
426,1404523271000.0,631.675
427,1404666371000.0,634.794
428,1404815040000.0,622.017
429,1404915240000.0,624.45
430,1405001640000.0,614.266
431,1405088040000.0,629.174
432,1405174440000.0,628.546
433,1405260840000.0,629.067
434,1405347240000.0,619.951
435,1405433640000.0,623.815
436,1405520040000.0,616.682
437,1405606440000.0,620.055
438,1405692840000.0,620.928
439,1405779240000.0,628.086
440,1405865640000.0,625.016
441,1405952040000.0,620.445
442,1406039040000.0,621.996
443,1406125440000.0,622.907
444,1406211840000.0,601.158
445,1406298240000.0,601.76
446,1406384640000.0,597.815
447,1406471040000.0,597.576
448,1406561040000.0,582.346
449,1406647440000.0,583.662
450,1406739840000.0,576.811
451,1406826240000.0,585.466
452,1406913840000.0,597.118
453,1407002040000.0,589.081
454,1407088440000.0,586.593
455,1407174840000.0,589.73
456,1407261240000.0,586.449
457,1407347640000.0,586.662
458,1407434040000.0,589.683
459,1407520440000.0,593.09
460,1407606840000.0,589.511
461,1407693240000.0,590.392
462,1407779640000.0,580.499
463,1407866040000.0,569.529
464,1407952440000.0,539.68
465,1408038840000.0,516.599
466,1408125240000.0,493.484
467,1408211640000.0,506.347
468,1408298040000.0,492.127
469,1408384440000.0,460.031
470,1408470840000.0,477.45
471,1408557240000.0,504.065
472,1408643640000.0,525.04
473,1408730040000.0,517.643
474,1408816440000.0,501.235
475,1408902840000.0,511.395
476,1408989240000.0,502.386
477,1409075640000.0,511.836
478,1409162040000.0,512.218
