,BTC-USD-Daily
419,0.02596531899628984
420,0.02656276429737561
421,0.027382627116619873
422,0.02869776700516764
423,0.030132231580708973
424,0.029671164688563335
425,0.029657603897617877
426,0.028963897527472287
427,0.029124110053831715
428,0.02846779859205088
429,0.028592773608605068
430,0.028069655824557473
431,0.028835429579917003
432,0.02880317133478916
433,0.028829933350253505
434,0.028361675129576183
435,0.028560155797050648
436,0.02819375760836138
437,0.028367017259342573
438,0.02841186032940086
439,0.02877954268389935
440,0.028621847122526006
441,0.028387050245966553
442,0.028466719892771126
443,0.028513514894859437
444,0.027396342007462444
445,0.02742726472014868
446,0.027224623355452324
447,0.02721234673031609
448,0.026430032919333688
449,0.026497631407531506
450,0.026145718609170355
451,0.026590296812325488
452,0.027188820812691014
453,0.026775987188340022
454,0.02664818700700554
455,0.02680932413274761
456,0.02664079021194438
457,0.026651731304639003
458,0.02680690990102626
459,0.02698191601750801
460,0.02679807484025876
461,0.026843328843375997
462,0.026335158749347838
463,0.025771666792258084
464,0.024238424182670838
465,0.023052830940958117
466,0.02186549123374484
467,0.022526220225909423
468,0.021795786713619876
469,0.02014712328109912
470,0.021041878650337624
471,0.022409001570842985
472,0.023486416684786245
473,0.023106457705151524
474,0.022263634001238247
475,0.022785518986108973
476,0.022322756995095155
477,0.022808171670983778
478,0.022827793724548802
479,0.022615392699702298
480,0.022732405888239254
481,0.022434222587336246
482,0.020925892794448047
483,0.02126768636623248
484,0.02130903650528966
485,0.02102754735990663
486,0.021592837149129303
487,0.021414029901852236
488,0.021563044502355185
489,0.021457999739160242
490,0.02112211333009826
491,0.020764139269117545
492,0.0214119238699251
493,0.020895997414409194
494,0.020973509662654266
495,0.021212415869803256
496,0.02105502850822413
497,0.02100884990572425
498,0.020649591678934306
499,0.019829985692851885
500,0.018359564474652135
501,0.01700985484251992
502,0.017724518798672134
503,0.017182549460545055
504,0.01717525539874864
505,0.018856382542926712
506,0.018547463615858545
507,0.01760827610962071
508,0.01730423701262761
509,0.016980986795128453
510,0.016094758286863225
511,0.016101435949071215
512,0.01624295102124827
513,0.016265346872961228
514,0.01584434595406354
515,0.01493767352611539
516,0.013369142040090529
517,0.013026115669129232
518,0.0133097108464394
519,0.013632909697306198
520,0.014858928478693453
521,0.015584738994069775
522,0.01511678897318667
523,0.015060850710536644
524,0.01566035067691719
525,0.017318465569793873
526,0.016966963704491668
527,0.016718760136883858
528,0.016223431700947987
529,0.01609193312208292
530,0.016696210185273792
531,0.016193125387850178
532,0.016271459502213155
533,0.01638975685655935
534,0.015662970375168016
535,0.014974143835097497
536,0.014689264491978101
537,0.014655413881246821
538,0.014621049604191846
539,0.014875571267581062
540,0.014866941673343043
541,0.013980969998239667
542,0.01426271597678454
543,0.013426724034976363
544,0.01320939181342242
545,0.013498431853763718
546,0.013272778237765969
547,0.013810484145406404
548,0.014001259818025486
549,0.014373719269334312
550,0.014160907311428852
551,0.01445076921788806
552,0.01500599114716638
553,0.015411222509926732
554,0.01596577667298425
555,0.019030155860231598
556,0.01629180068863135
557,0.016814867106046568
558,0.016388267224220644
559,0.017564203539047963
560,0.0162325749615097
561,0.0162155726061955
562,0.015262053809526673
563,0.014654592015128913
564,0.014939728191410154
565,0.014857798412781335
